field,count
Computer science,82630142
Medicine,58817536
Biology,43427071
Physics,40120421
Political science,34186267
Chemistry,34005729
Engineering,31181385
Philosophy,30885218
Mathematics,28048330
Psychology,25187604
Materials science,21913736
Art,21010953
Geography,19189950
Business,18518709
Sociology,17345207
Economics,16727938
Artificial intelligence,14456606
Geology,13380595
History,12488890
Environmental science,11482177
Philosophy,9481905
Machine learning,3663369
Natural language processing,964937
